Part ID,Part #,Description
ACB-1,001-0051,Jack Box - Stereo Headphone
ACB-2,001-0052,Jack Box - Dual Phono Jacks
ACM-3,001-9196,Amplitude Component Monitor
AMS-1/4F,001-3180,"1/4"" Stereo Headphone Jack - Terminal block connections"
AMS-1/8F,001-3185,"1/8"" Stereo Mini-Jack - Terminal block connections"
AMS-10K,001-3173,10K Linear Taper Pot & Knob Assembly - Terminal block connections
AMS-10KA,001-3174,10K Audio Taper Pot & Knob Assembly - Terminal block connections
AMS-1RC,001-3161,Single RCA Jack Assy - Terminal block connections
AMS-BNC,001-3165,BNC Jack  Assembly
AMS-FP1,001-3175,Filler Plate
AMS-HR6,001-3280,Mounting panel for 6 AMS Accessories
AMS-LEDB,001-3182,LED Indicator - Blue - Terminal block connections
AMS-LEDG,001-3181,LED Indicator - Green - Terminal block connections
AMS-LEDR,001-3171,LED Indicator - Red - Terminal block connections
AMS-LEDY,001-3183,LED Indicator - Yellow - Terminal block connections
AMS-PB1,001-3169,Momentary DPDT Pushbutton - Terminal block connections
AMS-PJ1,001-3177,Power Jack Assy for 24 V power supplies - Terminal block connections
AMS-RU4,001-3575,Mounting panel for 4 AMS Accessories
AMS-SW2,001-3167,Rocker Switch DPDT - Terminal block connections
AMS-TS1,001-3587,Illuminated Touch-Activated Pushbutton
AMS-XLF,001-3157,XLR 3-Pin Female Jack - Terminal block connections
AMS-XLM,001-3159,XLR 3-Pin Male Jack - Terminal block connections
AMS-XLRMA,001-3585,Selectable Mic/Line XLR Output with Phantom Block
AV-AC2,001-4026,Cable Kit for AV-HK1 - dual phono to mini-plug; dual phono to mini-jack
AV-DC4,001-4030,Line-Level Audio Divider/Combiner
AV-HK1,001-4025,“HUM KILLER” Stereo Audio Isolation Module
AV-HK1X,001-4040,“HUM KILLER” Audio Isolation Module
AV-LN4,001-7585,Line Level Audio to Network Interface - Dante
AV-NH1,001-4045,Network to Stereo Headphone Amplifier - Dante
AV-NL2,001-4050,Network to Audio Interface - Dante
AV-NL4,001-7580,Network to Audio Interface - Dante
AV-XMN4,001-4055,Microphone to Network Interface - Dante
CP-1,001-0106,Single Cover Plate - white
CP-1B,001-0150,Single Cover Plate - black
CP-1G,001-0144,Single Cover Plate - gray
CP-1S,001-0170,Single Cover Plate - stainless steel
CP-2,001-0107,Double Cover Plate - white
CP-2B,001-0151,Double Cover Plate - black
CP-2G,001-0145,Double Cover Plate - gray
CP-2S,001-0171,Double Cover Plate - stainless steel
CP-3,001-0172,Triple Cover Plate - white
CP-3B,001-0176,Triple Cover Plate - black
CP-3G,001-0173,Triple Cover Plate - gray
